quarter,EPI,n_reviews
2015Q1,0.776878871967301,413
2015Q2,0.7787128503440904,611
2015Q3,0.783082063879437,584
2016Q1,0.7852468398108893,553
2016Q2,0.7881481577877112,584
2016Q3,0.7703964255425548,497
2017Q1,0.7909497128492453,380
2017Q2,0.7392958326422222,118
2017Q3,0.7318035270425185,408
2018Q1,0.7149139396667401,453
2018Q2,0.7784601637326323,453
2018Q3,0.764702590684263,444
2019Q1,0.7426056661459816,389
2019Q2,0.7851127755289928,345
2019Q3,0.7088925387135612,318
2020Q1,0.7628475998622116,181
2020Q2,0.9962056993343955,5
2020Q3,0.647930438605499,59
2021Q1,0.7096382565153547,40
2021Q2,0.8646684851245268,40
2021Q3,0.8356387634165071,34
2022Q1,0.8041229480028124,44
2022Q2,0.8303394331391887,77
2022Q3,0.6837215266111174,93
