quarter,quarter_p,revpar,occupancy,EPI,n_reviews,EPI_lag1,n_reviews_lag1,Q3
2015Q1,2015Q1,393.0,94.8,0.806501040276572,413,,,0
2015Q2,2015Q2,361.0,95.9,0.7998227408711616,611,0.806501040276572,413.0,0
2015Q3,2015Q3,423.0,98.0,0.8085147892922373,584,0.7998227408711616,611.0,1
2016Q1,2016Q1,386.0,97.9,0.7982201505038922,553,,,0
2016Q2,2016Q2,362.0,96.4,0.8053202535197547,584,0.7982201505038922,553.0,0
2016Q3,2016Q3,467.0,98.3,0.7866977096456917,497,0.8053202535197547,584.0,1
2017Q1,2017Q1,422.0,96.9,0.8022579608001092,380,,,0
2017Q2,2017Q2,375.0,94.3,0.7689198060778187,118,0.8022579608001092,380.0,0
2017Q3,2017Q3,409.0,95.9,0.7465678285127914,408,0.7689198060778187,118.0,1
2018Q1,2018Q1,440.0,96.8,0.7313497704026314,453,,,0
2018Q2,2018Q2,405.0,96.9,0.7893037028244174,453,0.7313497704026314,453.0,0
2018Q3,2018Q3,455.0,97.5,0.7763034346675097,444,0.7893037028244174,453.0,1
2019Q1,2019Q1,446.0,98.1,0.7589657492369305,389,,,0
2019Q2,2019Q2,408.0,97.2,0.7984949894316119,345,0.7589657492369305,389.0,0
2019Q3,2019Q3,465.0,97.7,0.7244557047462259,318,0.7984949894316119,345.0,1
2020Q1,2020Q1,338.0,81.0,0.7782508301163292,181,,,0
2020Q2,2020Q2,132.0,40.2,0.997701481140304,5,0.7782508301163292,181.0,0
2020Q3,2020Q3,143.0,55.5,0.6612933140433305,59,0.997701481140304,5.0,1
2021Q1,2021Q1,143.0,63.0,0.7117563061111628,40,,,0
2021Q2,2021Q2,150.0,67.9,0.8694551270209612,40,0.7117563061111628,40.0,0
2021Q3,2021Q3,169.0,71.7,0.8461503546643125,34,0.8694551270209612,40.0,1
2022Q1,2022Q1,215.0,83.8,0.822528737356602,44,,,0
2022Q2,2022Q2,310.0,93.9,0.8489489705536117,77,0.822528737356602,44.0,0
2022Q3,2022Q3,494.0,96.0,0.6954596100546088,93,0.8489489705536117,77.0,1
