model,term,b,se_hc3,t,p
Baseline,const,1088.3443513119003,686.6430907698146,1.5850219217843249,0.1129613536222747
Baseline,EPI_lag1,-999.0215941859934,864.1163019970845,-1.156119369438032,0.24763233431157505
Baseline,Q3,123.70981239200034,53.353781205293174,2.31867000983479,0.020412935842850904
Baseline,N,16.0,,,
Baseline,R2,0.27339223864427553,,,
Baseline,Adj_R2,0.1616064292049334,,,
Extended,const,3.636752284471413,568.876105574351,0.0063928722771712495,0.9948992606544137
Extended,EPI_lag1,-247.2880548532885,422.6227817690108,-0.5851271287794573,0.5584622387202866
Extended,Q3,59.23835209775484,23.745544674114228,2.49471439424729,0.012605854810147293
Extended,occupancy,5.873037788365883,2.6596919226874443,2.2081646894019076,0.02723279488956448
Extended,N,16.0,,,
Extended,R2,0.8564514546238089,,,
Extended,Adj_R2,0.8205643182797611,,,
